document_id,pid,source_filename,checksum_sha256,title,creator,date_text,document_type,archive_reference,page_count,ocr_status,ingestion_status,ingestion_error,chunk_count,ingestion_version,corpus_version,source_uri,source_path,authority_id,archive_record_id,archive_record_pid,metadata_source,access_level,rights_note,ml_pages,ml_annotation,record_title,record_public_uri
doc_321843234637_dd0e0ae8a761,321843234637,491fdbf612455d205b8c3d5fbff488cdc69b256e2fd5095d8317917683b874fc.pdf,,"A scientific framework for understanding design, George Mallen",,1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/321843234637/master/491fdbf612455d205b8c3d5fbff488cdc69b256e2fd5095d8317917683b874fc__pdf_master__v1.pdf,,137,152,989478384551,archive_graphql.records_v1,,The Board and Trustees of the Victoria and Albert Museum,,,DDR teaching and learning practice lectures,https://ddrarchive.org/id/record/989478384551
doc_321843234637_cc38675e330f,321843234637,7903ef10cbf52e1b4d3377845e6544484c0b05374f73bc90cf7557d191b2977d.pdf,,Computers in design course notes,,1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/321843234637/master/7903ef10cbf52e1b4d3377845e6544484c0b05374f73bc90cf7557d191b2977d__pdf_master__v1.pdf,,137,152,989478384551,archive_graphql.records_v1,,The Board and Trustees of the Victoria and Albert Museum,,,DDR teaching and learning practice lectures,https://ddrarchive.org/id/record/989478384551
doc_321843234637_882d61988c15,321843234637,c7cf4b3691920a0cddca1d891faa07d0ea9eb9137f55d8150728b07fae866344.pdf,,"A scientific framework for understanding design, George Mallen",,1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/321843234637/master/c7cf4b3691920a0cddca1d891faa07d0ea9eb9137f55d8150728b07fae866344__pdf_master__v1.pdf,,137,152,989478384551,archive_graphql.records_v1,,The Board and Trustees of the Victoria and Albert Museum,,,DDR teaching and learning practice lectures,https://ddrarchive.org/id/record/989478384551
doc_338541406157_1f1396dba8bc,338541406157,0359fe3564fb41ef785b138ddee084a56e1b904513267ed3510db0187a2a2ad8.pdf,,"Paper for Imperial Chemical Industries on learning curves, entropy and cybernetics in business modelling",,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/338541406157/master/0359fe3564fb41ef785b138ddee084a56e1b904513267ed3510db0187a2a2ad8__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
doc_338541406157_86ff8e6dd3ee,338541406157,1476a4badf161b3d7b0c9ccc3b55479aff97cf4c6f282688f3c1b69543f269ab.pdf,,Bruce Archer handout 'A characteristic programme for product development,,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/338541406157/master/1476a4badf161b3d7b0c9ccc3b55479aff97cf4c6f282688f3c1b69543f269ab__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
doc_338541406157_0b862ebaada9,338541406157,179e32df37e64a76e351fa88018bea6f08c0f133b8496c1246c2c77d2caee299.pdf,,"A general model of the designing, making and testing process",,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/338541406157/master/179e32df37e64a76e351fa88018bea6f08c0f133b8496c1246c2c77d2caee299__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
doc_338541406157_b8a317bb4fc8,338541406157,19f20667a1b0095074a5fd212a861f66cf8a7f0c489f232541cbd9039a58dab7.pdf,,Inter-university institute of design research,,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/338541406157/master/19f20667a1b0095074a5fd212a861f66cf8a7f0c489f232541cbd9039a58dab7__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
doc_338541406157_2894d9bce300,338541406157,2b4a47bf96f063dccc7ac14df3fc312087bbf5e45676ec1cf7d5031a76fe646e.pdf,,Electrohome lectures,,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/338541406157/master/2b4a47bf96f063dccc7ac14df3fc312087bbf5e45676ec1cf7d5031a76fe646e__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
doc_338541406157_ef22bd33f2d6,338541406157,308e67089fda8f54fd8e9e0a4dba7e054208e78ad7c49052eaa3ee72773250b9__pdf_master__v1.pdf,,Systematic method for designers reprint with additional material,,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/87/master/308e67089fda8f54fd8e9e0a4dba7e054208e78ad7c49052eaa3ee72773250b9__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
doc_338541406157_957e0a3a13ff,338541406157,45ce1801a5064c730f70d1f8f77f4cbf7b83b13f6d6d659cd998e6b7f3a164bd.pdf,,"The international implications of design committee paper, IDAC",,Circa 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/338541406157/master/45ce1801a5064c730f70d1f8f77f4cbf7b83b13f6d6d659cd998e6b7f3a164bd__pdf_master__v1.pdf,,120,127,873981573030,archive_graphql.records_v1,,Royal College of Art,,,Bruce Archer collection,https://ddrarchive.org/id/record/873981573030
